Player,Handle,Followers,Rename
A.J. Greer,ajgreer_10,2455,NA
Adam Pardy,PardyAdam,6392,NA
Al Stalock,Stalock32,7012,NA
Alex Burrows,aburr14,80674,Alexandre Burrows
Alex galchenyuk,AGally94,211209,Alex Galchenyuk
Alex Grant,agrant20,3355,NA
Alexander Steen,Steener20,115380,NA
Andrew Ference,Ferknuckle,125873,NA
Andrew Gordon,AndrewGordon10,14280,NA
Andy Miele,Andy_Miele,7993,NA
Anthony Duclair,aduclair10,26158,NA
Anthony Peluso,AnthonyPeluso23,15603,NA
Anthony Stewart,StuMunrue,23747,NA
Anthony Stolarz,StolieTheGoalie,12986,NA
anthonymantha,antomantha8,13587,Anthony Mantha
Antoine Bibeau,BibeauAntoine01,4942,NA
Anton Lander,Landie51,21338,NA
Arron Asham,TheRealAsham45,20752,NA
Barclay Goodrow,bgoodrow23,7874,NA
Ben Hanowski,BenHano10,4501,NA
ben lovejoy,RevLovejoy6,39255,Ben Lovejoy
Ben Scrivens,ben_scrivens,82020,NA
Blake Geoffrion,BlakeGeoffrion,36125,NA
Bobby Farnham,bobbyfarnham24,6821,NA
Brad Richards,BRichards_1991,230286,NA
Brad Winchester,bradwinchester,9355,NA
Brady Vail,BradyVail,5298,NA
Brandon Bollig,Bollig87,106099,NA
Brandon Gormley,bgormley33,1807,NA
brandon pirri,pirri91,27645,Brandon Pirri
Brandon Prust,BrandonPrust8,287768,NA
Brandon Segal,brandon_segal,4497,NA
Brayden Mcnabb,nabber03,19457,Brayden McNabb
Brendan Morrison,7bmo,22402,NA
Brendan Witt,BWitt32,3320,NA
Brenden Morrow,Minimo1zero,51961,NA
Brett Sutter,sutter_brett,6320,NA
Brody Sutter,Sutts19,4907,NA
Brooks Laich,brookslaich,65507,NA
Bryce Salvador,BryceSalvador,6410,NA
bryzgoalie30,bryzgoalie30,159037,NA
Cam Janssen,CamJanssen25,24398,NA
Carlo Colaiacovo,CarloColaiacovo,8466,NA
Carter Ashton,c_ash15,11675,NA
Charles Hudon,KidHud_10,19362,NA
Chris Butler,TheButler44,11678,NA
Chris Phillips,CPhillipsFour,29224,NA
chris porter,32porterhouse,19389,NA
chris stewart,Cstew_7,55975,Chris Stewart
Chris Summers,chri5ummers,4732,NA
Christian Ehrhoff,TheRealHoff10,33506,NA
Colin McDonald,ColinMcDonald13,13267,NA
Colton Gillies,ColtonGillies,9471,NA
Cory Conacher,conhockey19,32447,NA
Cory Emmerton,cemmer48,24288,NA
_¥_____µ___ü__ _Ï_¡_È___ü__,malkin71_,1517956,Evgeni Malkin
Dalton Thrower,thrower47,8226,NA
Damien Brunner,damien_brunner,29466,NA
Daniel Alfredsson,DAlfredsson11,62163,NA
Daniel Carcillo,CarBombBoom13,73360,NA
Danny Briere,DannyBriere48,13596,NA
Darren Archibald,arch2five,5929,NA
Darryl Boyce,dboyce47,17792,NA
Dave Bolland,DaveBolland,91161,NA
Dave Moss,djmoss25,13031,NA
David Booth,D_Booth7,62280,NA
David Jones,djones5454,17778,NA
davidpastrnak,pastrnak96,34022,David Pastrnak
Derek Dorsett,Twigy15,32511,NA
Derek Joslin,Djos27,5458,NA
DJ KING,DJKING_17,8933,NA
drew doughty,dewyy8,115337,Drew Doughty
dustin brown,DustinBrown23,204444,Dustin Brown
Dustin Penner,Dustinpenner25,98245,NA
Dustin Tokarski,dustintokarski,49272,NA
Emerson Etem,tweetem_up,22376,NA
Eric Nystrom,enystrom23,38931,NA
Eric Tangradi,ETangradi,37292,NA
Erik Condra,ECondra,33964,NA
Frank Corrado,frankcorrado22,21100,NA
Frazer Mclaren,Frazermclaren68,36051,NA
gemel smith,gemel_smith,1642,NA
George Parros,GeorgeParros,130358,NA
Gui Latendresse,thetender1987,23970,NA
Hunter Shinkaruk,H_S_9,29179,NA
J.T. Wyman,WyTJayman,2742,NA
Jakub Vrana,JVranaa,2403,NA
Jamal Mayers,jamalmayers,52902,NA
Jamie McBain,jbain4,18159,NA
Jarret Stoll,jarretstoll,36933,NA
Jason Akeson,JasonAkeson,11091,NA
jason demers,jasondemers5,31654,Jason Demers
Jaycob Megna,JaycobMegna,1155,NA
Jerry D'Amigo,JerryD91,16325,NA
jesse winchester,jwinch18,11855,NA
JF Berube,JRouby,5455,Jean-Francois Berube
Jhonas Enroth,JEnroth125,48554,NA
Jim Vandermeer,Jim_Vandermeer,17025,NA
Joakim NordstrÌ_m,Jo92No,12954,Joakim Nordstrom
Joffrey Lupul,JLupul,306844,NA
John Albert,adelbertjohn,3337,NA
john erskine,johnerskine04,40622,NA
Jon Gillies,JGillies32,7121,NA
Jordan Binnington,binnnasty,8455,NA
Jordan Caron,Jord38caron,16717,NA
josh gorges,jgorges26,94351,Josh Gorges
Jt brownov,JTBrown23,15694,NA
Karri Ramo,RamoKarri,8339,NA
Kasperi Kapanen,kasperikapanen1,21716,NA
Keaton Ellerby,ellerby88,14355,NA
Keith Aulie,kaulie59,15877,NA
Kerby Rychel,Krychs,9609,NA
Kevin Labanc,Str8ToTheBanc,2842,NA
Kevin Porter,kporter12,16090,NA
Kevin Westgarth,KWesty19,21591,NA
Kime4kids,kime4kids,5963,NA
Kristopher Letang,Letang_58,128714,NA
Krys Barch,krysbarch,12854,NA
Liam O'Brien,ob61,6995,NA
Luke Adam,LukeJAdam,26169,NA
Mackenzie Skapski,Skaps29,10027,NA
Magnus PÌ_Ì_jÌ_rvi,mps_91,43872,Magnus Paajarvi
marc savard,MSavvy91,51212,Marc Savard
Marc-Ìädouard Vlasic,Vlasic44,21344,Marc-Edouard Vlasic
Marc-Andre Bergeron,bergeron47,17957,NA
marcus johansson,mjohansson90,20306,Marcus Johansson
Marek Mazanec,mazanec222,4445,NA
Mark Arcobello,sporkabella,13795,NA
mark scheifele,markscheifele55,55660,Mark Scheifele
Martin Brodeur,MartinBrodeur,62657,NA
Martin Frk,Frky91,5332,NA
Martin Havlat,martinhavlat,35811,NA
Matt Carkner,CarknerMatt,5822,NA
Matt Dumba,matt_dumba,12059,NA
Matt Kassian,kassassination,30765,NA
