"Player","Handle","Followers","Team","Salary"
"Artemi Panarin","72Artemi",8834,"CHI",925000
"Mark Giordano","MarkGio05",5626,"CGY",6750000
"Niklas Hjalmarsson","hammarenfyra",29121,"CHI",4100000
"Justin Williams","JustinWilliams",18921,"WSH",3250000
"Joe Pavelski","jpav8",27449,"SJS",6e+06
"Nick Foligno","NickFoligno",12047,"CBJ",5500000
"Jordan Nolan","Jordan_Nolan71",4243,"LAK",950000
"Jonathan Toews","JonathanToews",196362,"CHI",13800000
"Dale Weise","daleweise22",33721,"PHI",2750000
"Dmitry Kulikov","kulioo7",5402,"BUF",4500000
"Matt Stajan","MattStajan18",9883,"CGY",3e+06
"Brad Boyes","bboyes28",2511,"FLA",833333
"Marco Scandella","MarcoScandella",8102,"MIN",3750000
"Pierre-Edouard Bellemare","bellsy78",9426,"PHI",725000
"Bryan Rust","rustyyy_92",17383,"PIT",620000
"Adam Henrique","AdamHenrique",18347,"NJD",4500000
"Petr Mrazek","pmrazek34",17609,"DET",3850000
"Stephen Gionta","steviegio11",7105,"NYI",575000
"Kyle Clifford","13KCliffy",8826,"LAK",1250000
"Tuukka Rask","tuukkarask",22516,"BOS",7500000
"Johnny Boychuk","joboych",15036,"NYI",7e+06
"Ryan Reaves","rreaves75",30345,"STL",1125000
"Oscar Klefbom","Klefbom93",13125,"EDM",3e+06
"Antti Raanta","ARaanta31",28460,"NYR",1e+06
"Jeff Carter","JeffCarter_77",26742,"LAK",7e+06
"Tyler Seguin","tseguinofficial",130347,"DAL",6e+06
"Shane Prince","ShanePrince18",8446,"NYI",8e+05
"Zach Bogosian","BogosianZach",30516,"BUF",5250000
"Xavier Ouellet","The_XMan16",6644,"DET",715000
"Rasmus Ristolainen","rasmrist55",11220,"BUF",5400000
"Beau Bennett","BeauBennett19",46460,"NJD",725000
"Riley Sheahan","rsheahan15",16172,"DET",2075000
"Marc-Edouard Vlasic","Vlasic44",21344,"SJS",4250000
"Michael Raffl","michaelRaffl",12319,"PHI",2350000
"Brandon Saad","BSaad20",89944,"CBJ",5750000
"Patrick Wiercioch","PattyW28",13478,"COL",8e+05
"Ryan Miller","RyanMiller3039",168266,"VAN",6e+06
"Marko Dano","Marko_Dano",14032,"WPG",925000
"Calvin de Haan","cal_dehaan",14966,"NYI",2500000
"Jori Lehtera","Lempaalanpoika",45702,"STL",4400000
"Rich Clune","richclune",19606,"NSH",283333
"Thomas Hickey","thomas_hickey14",14070,"NYI",2250000
"Jack Skille","JackSkille",7312,"VAN",7e+05
"Ryan Suter","rsuter20",26929,"MIN",9e+06
"Milan Lucic","27MilanLucic",85526,"EDM",8e+06
"Erik Karlsson","ErikKarlsson65",215459,"OTT",7e+06
"Alex Pietrangelo","apetro_27",89477,"STL",7e+06
"Adam Burish","ABurish37",26535,"SJS",616666
"Brandon Manning","mandog1990",5980,"PHI",950000
"Sebastian Aho","SebastianAho",6564,"CAR",925000
"Jason Demers","jasondemers5",31654,"FLA",5500000
"Marcus Johansson","mjohansson90",20306,"WSH",4250000
"Scott Wilson","smiltztwo3",9106,"PIT",590000
"Auston Matthews","AM34",99195,"TOR",925000
"Alexandre Burrows","aburr14",80674,"OTT",3e+06
"Vladimir Tarasenko","tara9191",304185,"STL",8e+06
"Brad Marchand","Bmarch63",81813,"BOS",5e+06
"Torey Krug","ToreyKrug",74130,"BOS",5e+06
"David Pastrnak","pastrnak96",34022,"BOS",925000
"Mike Hoffman","MHoffy68",25232,"OTT",3800000
"Drew Doughty","dewyy8",115337,"LAK",7450000
"Conor Sheary","csheary13",19780,"PIT",667500
"Troy Brouwer","TroyBrouwer36",49986,"CGY",4500000
"Mark Scheifele","markscheifele55",55660,"WPG",5e+06
"Matt Hendricks","MattHendy26",36326,"EDM",1850000
"Sam Gagner","89SGagner",99811,"CBJ",650000
"Shayne Gostisbehere","s_ghost14",35439,"PHI",925000
"Brendan Gallagher","BGALLY17",235257,"MTL",4500000
"Tom Kuhnhackl","Tkuhn14",12545,"PIT",590000
"Zack Kassian","zkassian9",59204,"EDM",1500000
"Erik Johnson","6ErikJohnson",85048,"COL",6e+06
"Lars Eller","Eller_89",123168,"WSH",4250000
"Paul Stastny","PaulyWalnuts26",70306,"STL",7e+06
"Jakub Kindl","JKindl4",18416,"FLA",2640000
"Michael Stone","StoneM26",2692,"CGY",2e+06
"Josh Gorges","jgorges26",94351,"BUF",3900000
"Justin Abdelkader","justinabss",74367,"DET",5500000
"Thomas Vanek","T_Vanek26",64580,"MIN",1500000
"Riley Nash","rileynash20",7310,"BOS",9e+05
"John Tavares","91Tavares",143040,"NYI",6e+06
"Ondrej Palat","Opalat18",19058,"TBL",4e+06
"Dylan Larkin","Dylanlarkin39",44287,"DET",925000
"Reilly Smith","reillysmith18",33064,"FLA",3500000
"Brian Campbell","bcampbell_51",26638,"CHI",1500000
"Nikita Zadorov","zadorov61",10404,"COL",832500
"Elias Lindholm","lindholmelias",13175,"CAR",2500000
"Taylor Fedun","tfedun88",10670,"BUF",6e+05
"Nail Yakupov","Nail10_1993",103395,"STL",2500000
"Brian Boyle","BriBrows22",81649,"TOR",2e+06
"Robert Bortuzzo","rbontuzzo21",32826,"STL",1050000
"Brayden Schenn","Bschenn_10",108415,"PHI",6e+06
"Carey Price","CP0031",351232,"MTL",7e+06
"Erik Gudbranson","Guddy44",18686,"VAN",3500000
"Ben Smith","BenASmith12",55175,"TOR",675000
"Adam Cracknell","ACracknell24",20902,"DAL",6e+05
"Dmitrij Jaskin","DmitrijJaskin",38215,"STL",1e+06
"Nick Leddy","ledpipe08",101754,"NYI",4500000
"Leo Komarov","LKomarov",82333,"TOR",2950000
"Casey Cizikas","zeeker11",23945,"NYI",2500000
"Bryan Bickell","bbicks29",184541,"CAR",4500000
"Mats Zuccarello","zuccarello36",128855,"NYR",4500000
"Charlie Coyle","CharlieCoyle_3",37192,"MIN",2600000
"Cam Talbot","ctalbot33",57768,"EDM",4150000
"Antoine Roussel","Rous_ant",28160,"DAL",2200000
"Andrew Desjardins","AndrewDesjardin",17858,"CHI",8e+05
"Patrick Sharp","10PSharp",330935,"DAL",5e+06
"Wayne Simmonds","Simmonds17",223605,"PHI",4300000
"Gabriel Landeskog","GabeLandeskog92",164763,"COL",5500000
"Eddie Lack","eddielack",140475,"CAR",2500000
"Jordan Schroeder","J_Schroeder90",19770,"MIN",650000
"Colton Sceviour","Sceviour7",9445,"FLA",950000
"Marc Methot","MarcMethot3",59687,"OTT",4900000
"Hampus Lindholm","HampeLindholm",18007,"ANA",3e+06
"Matt Read","MReader24",79143,"PHI",4e+06
"Nicklas Backstrom","backstrom19",100657,"WSH",7e+06
"Claude Giroux","28CGiroux",678097,"PHI",9e+06
"Evgeny Kuznetsov","Kuzya92",77184,"WSH",3400000
"Jamie Benn","jamiebenn14",115403,"DAL",5750000
"Jaromir Jagr","68Jagr",303837,"FLA",4e+06
"Matt Puempel","mpuempel",8343,"NYR",9e+05
"Tom Wilson","tom_wilso",52381,"WSH",1750000
"Jakob Silfverberg","jsilfverberg33",23620,"ANA",3e+06
"Jonathan Drouin","jodrouin27",59596,"TBL",832500
"Henrik Lundqvist","HLundqvist30",670579,"NYR",9500000
"Luke Gazdic","lukegazdic",16718,"NJD",7e+05
"Brandon Pirri","pirri91",27645,"NYR",1100000
"Nick Bjugstad","NBjugstad72",13844,"FLA",4100000
"Matt Martin","mattymarts17",52378,"TOR",3500000
"Joel Ward","JRandalWard42",57499,"SJS",3275000
"Brandon Montour","brandon_montour",3318,"ANA",925000
"Nick Bonino","NickBonino",53405,"PIT",2100000
"Steve Ott","otterN9NE",114357,"MTL",8e+05
"Eric Gryba","grybes02",29975,"EDM",950000
"Robin Lehner","RobinLehner",23433,"BUF",3150000
"Braden Holtby","Holts170",60672,"WSH",7e+06
"William Karlsson","WKarlsson71",14579,"CBJ",1e+06
"P.A. Parenteau","PAParenteau",55197,"MTL",1333333
"Brandon Dubinsky","BDubi17",81575,"CBJ",5850000
"Scott Hartnell","Hartsy43",322333,"CBJ",5e+06
"Phil Kessel","PKessel81",308523,"PIT",7800000
"Jordan Eberle","ebs_14",282493,"EDM",6e+06
