"Player","Followers"
"Artemi Panarin",8605
"Mark Giordano",5606
"Niklas Hjalmarsson",29124
"Justin Williams",18904
"Joe Pavelski",27448
"Nick Foligno",12027
"Jordan Nolan",4230
"Jonathan Toews",195998
"Dale Weise",33716
"Ryan Carter",1820
"Dmitry Kulikov",5402
"Scott Wedgewood",4041
"Matt Stajan",9852
"Brad Boyes",2511
"Matt Dumba",12032
"Marco Scandella",8080
"Pierre-E Bellemare",9416
"Bryan Rust",17354
"Adam Henrique",18308
"Petr Mrazek",17588
"Stephen Gionta",7103
"Kyle Clifford",8822
"Tuukka Rask",22488
"Jakub Vrana",2400
"Johnny Boychuk",15022
"Pascal Dupuis",51108
"Brandon Gormley",1809
"Steve Downie",13296
"Brett Sutter",6321
"Danny Briere",13593
"Kime4kids",5963
"Ryan Reaves",30325
"Oscar Klefbom",13053
"Antti Raanta",28461
"Jeff Carter",26742
"Nathan Gerbe",7786
"Patrick Kaleta",13183
"Tyler Seguin",130270
"Shane Prince",8445
"Zach Bogosian",30514
"xavier ouellet",6634
"Bobby Farnham",6823
"Matt Carkner",5823
"Rasmus Ristolainen",11221
"Beau Bennett",46459
"Riley Sheahan",16176
"Marc-Édouard Vlasic",21280
"michael raffl",12321
"Nick Spaling",13149
"Brandon Saad",89944
"Chris Phillips",29163
"Marek Mazanec",4444
"Patrick Wiercioch",13479
"Ryan Miller",168258
"Kristopher Letang",128654
"Mike Weaver",43602
"Marko Dano",14033
"Calvin de Haan",14965
"Jori Lehtera",45704
"Rich Clune",19591
"Thomas Hickey",14067
"Jack Skille",7313
"Ryan Suter",26902
"Milan Lucic",85502
"chris porter",19391
"Jarret Stoll",36931
"Daniel Alfredsson",62140
"Erik Karlsson",215381
"Alex Pietrangelo",89551
"Adam Burish",26542
"Nic Kerdiles",3818
"Raphael Diaz",27880
"Brandon Manning",5965
"Martin Brodeur",62447
"Sebastian Aho",6538
"jason demers",31657
"marcus johansson",20303
"Scott Wilson",9097
"John Albert",3338
"Auston Matthews",98977
"Alex Burrows",80685
"Brooks Laich",65432
"Martin Frk",5328
"Vladimir Tarasenko",303518
"Brad Marchand",81719
"Torey Krug",74083
"davidpastrnak",33964
"Mike Hoffman",25218
"Travis Moen",39794
"drew doughty",115315
"Zenon Konopka",29847
"Arron Asham",20754
"Conor Sheary",19747
"Troy Brouwer",49966
"mark scheifele",55626
"Damien Brunner",29467
"Matt Hendricks",36309
"Sam Gagner",99807
"Shayne Gostisbehere",35389
"Michael Kostka",26102
"Brendan Gallagher",235215
"Willie Mitchell",36427
"Tom Kühnhackl",12544
"Paul Carey",2241
"Ryan Malone",22387
"Dustin Tokarski",49272
"zack kassian",59207
"Erik Johnson",85054
"Kasperi Kapanen",21706
"Lars Eller",123149
"Paul Stastny",70302
"gemel smith",1643
"Jakub Kindl",18415
"Michael Stone",2689
"Rasmus Asplund",4091
"josh gorges",94362
"Justin Abdelkader",74349
"Kevin Labanc",2835
"Thomas Vanek",64579
"Scott Laughton",25233
"Adam Pardy",6395
"Riley Nash",7309
"Chris Butler",11677
"Anthony Stolarz",12980
"John Tavares",143009
"Ondrej Palat",19027
"Dylan Larkin",44268
"Reilly Smith",33073
"Al Stalock",6651
"Brian Campbell",26618
"Nikita Zadorov",10401
"Quinton Howden",5347
"Elias Lindholm",13174
"Taylor Fedun",10671
"Nail Yakupov",103342
"Brian Boyle",81630
"robert bortuzzo",32831
"Brayden Schenn",108384
"Anthony Duclair",26162
"Carey Price",351173
"Andrew Ference",125787
"Erik Gudbranson",18688
"Ben Smith",55174
"Sebastian Collberg",10278
"Dustin Penner",98269
"Colton Gillies",9474
"Adam Cracknell",20893
"Dmitrij Jaskin",38238
"Nick Leddy",101751
"Leo Komarov",82274
"Casey Cizikas",23942
"Bryan Bickell",184540
"Mats Zuccarello",128868
"Charlie Coyle",37167
"Cam Talbot",57690
"Antoine Roussel",28142
"Teddy Purcell",40698
"Andrew Desjardins",17853
"Patrick Sharp",330759
"Wayne Simmonds",223526
"Zac Rinaldo",71199
"Gabriel Landeskog",164759
"Richard Bachman",10441
"Eddie Lack",140432
"Stu Bickel",28457
"Jordan Schroeder",19778
"Colton Sceviour",9448
"Marc Methot",59670
"Anthony Peluso",15608
"Hampus Lindholm",17998
"Matt Read",79160
"Gui Latendresse",23971
"Nicklas Backstrom",100632
"Claude Giroux",678022
"Derek Joslin",5456
"Evgeny Kuznetsov",77303
"Jamie Benn",115345
"Dylan McIlrath",18406
"Jhonas Enroth",48560
"Jaromir Jagr",303771
"Matt Puempel",8350
"Tom Wilson",52328
"Oskar Sundqvist",9595
"Jakob Silfverberg",23623
"Jonathan Drouin",59541
"Antoine Bibeau",4933
"Brenden Morrow",51965
"Henrik Lundqvist",670463
"Luke Gazdic",16721
"Wojtek Wolski",23482
"Mackenzie Skapski",10029
"Tobi Rieder",4981
"Keith Aulie",15881
"Brandon Bollig",106092
"brandon pirri",27651
"Nick Bjugstad",13838
"Matt Martin",52324
"Joel Ward",57505
"Brandon Montour",3310
"Nick Bonino",53388
"Steve Ott",114285
"A.J. Greer",2445
"Eric Gryba",29828
"Robin Lehner",23435
"Braden Holtby",60624
"William Karlsson",14570
"Ryan Bourque",10220
"P-A Parenteau",55209
"Steven Oleksy",22741
"Brandon Dubinsky",81572
"Scott Hartnell",322381
"Phil Kessel",308504
"Jordan Eberle",282520
"Jason Zucker",37741
"Jakub Voracek",89851
"Pat Maroon",25468
"Erik Condra",33960
"Mattias Ekholm",6719
"Keaton Ellerby",14361
"Tomas Tatar",110251
"Dave Bolland",91175
"Craig Anderson",65807
"Jason Akeson",11091
"Cory Emmerton",24292
"Adam Lowry",14063
"Tim Bozon",21451
"trevor lewis",28121
"Brayden Mcnabb",19456
"anthonymantha",13558
"Jt brownov",15667
"Tim Stapleton",14782
"Viktor Stalberg",82998
"Ryan Nugent-Hopkins",218186
"Jake Allen",52837
"Anton Lander",21348
"J.T. Wyman",2743
"Tye McGinn",17255
"Евгений Малкин",1517615
"Christian Folin",6327
"Cedric Paquette",8642
"Kevin Bieksa",214823
"Tomáš Hertl",74975
"Pavel Datsyuk",277748
"Kevin Porter",16097
"Daniel Carcillo",73355
"jesse winchester",11844
"John Mitchell",19720
"Kevin Westgarth",21591
"Gustav Nyquist",49762
"Ryan Pulock",9810
"Nazem Kadri",204738
"Jean-Gabriel Pageau",35163
"Michael Hutchinson",12432
"Colin McDonald",13263
"Connor Carrick",19371
"Tanner Glass",54261
"Alec Martinez",37820
"John Gibson",18202
"Jason Garrison",41118
"Nick Sorensen",4019
"Ryan Johansen",47667
"Cody Ceci",29829
"marc savard",51199
"Patrick Dwyer",13761
"Alex galchenyuk",211106
"Karri Ramo",8342
"Patrick Brown",1898
"Harry Zolnierczyk",24354
"VT3",5818
"Kevin Shattenkirk",124223
"TJ Galiardi",41861
"Justin Faulk",30116
"Jamie Oleksiak",12679
"Dave Moss",13035
"Sean Monahan",37558
"Dalton Thrower",8228
"Jacob Markstrom",33779
"Mark Stone",33400
"Andrew Ladd",105327
"Eric Nystrom",38924
"Mikael Backlund",35074
"Matthew Calvert",20831
"Carter Ashton",11677
"Luke Adam",26173
"RealPatrickEaves",5403
"Stefan Elliott",4629
"Strombone",711884
"Victor Rask",6534
"Robert Mikkelson",3277
"Jamie McBain",18162
"morgan rielly",92043
"David Booth",62290
"Brody Sutter",4908
"Brent Burns",179259
"Patrick Kane",827458
"David Backes",129900
"Mika Zibanejad",54694
"Dominic Moore",54303
"Victor Hedman",53625
"Andreas Athanasiou",12175
"Andrej Sustr",13205
"Jerry D'Amigo",16324
"Derek Stepan",119485
"Ryan McDonagh",132616
"Victor Bartley",8095
"bryzgoalie30",159021
"Duncan Keith",138071
"Ben Hanowski",4504
"Jonathan Quick",266596
"Johnny Gaudreau",57903
"Theo Peckham",20958
"Ryan Shannon",14010
"Jonas Brodin",15379
"George Parros",130366
"Adam Larsson",16412
"Justin Falk",12682
"Kyle Okposo",62760
"Connor Murphy",5019
"Brendan Morrison",22405
"Magnus Pääjärvi",43873
"Alex Goligoski",34271
"P.K. Subban",923929
"Nate Schmidt",15026
"Stephen Johns",7690
"Vlad Namestnikov",13327
"Brady Vail",5302
"John-Michael Liles",66820
"Brandon Prust",287739
"Joakim Nordström",12954
"Kerby Rychel",9615
"Christian Ehrhoff",33517
"Shane O'Brien",48172
"TJ Oshie",375655
"Jack Eichel",107632
"Alex Grant",3356
"Matt Tennyson",7941
"Jamie McGinn",49347
"Brandon Segal",4498
"Ryan O'Byrne",19779
"Mike Fisher",174000
"Daniel Winnik",32907
"Chris Summers",4736
"Jamal Mayers",52898
"Carl Gunnarsson",61521
"Andrew Shaw",454063
"Mark Fistric",17854
"Brian Elliott",103695
"Joel Edmundson",10810
"James Neal",181012
"Frank Corrado",21103
"Blake Wheeler",75067
"Tyler Toffoli",36900
"Carl Hagelin",139471
"DJ KING",8935
"Yannick Weber",58241
"chris stewart",55969
"Devante Smith-Pelly",48948
"James Wisniewski",36174
"Charles Hudon",19363
"Cory Conacher",32443
"Jordan Binnington",8452
"JF Berube",5456
"Aaron Ekblad",29527
"Darcy Kuemper",22833
"Hunter Shinkaruk",29179
"Zac Dalpe",18715
"Vincent Lecavalier",89061
"Eric Tangradi",37297
"Stanislav Galiev",10928
"Taylor Hall",437802
"Sheldon Souray",40539
"Damon Severson",6498
"Steven Stamkos",508034
"Nathan Mackinnon",138333
"Taylor Beck",5939
"Danny DeKeyser",52770
"Aaron Dell",4418
"Toby Petersen",3282
"Brenden Dillon",20836
"Brad Richards",230532
"Nathan Thompson",17853
"Dougie Hamilton",24717
"Calvin Pickard",10394
"Brett Connolly",25282
"Jon Gillies",7116
"Brian Gionta",133557
"David Jones",17785
"Anthony Bitetto",5618
"Krys Barch",12853
"Ben Scrivens",82022
"Jayson Megna",20383
"Marc-Andre Bergeron",17957
"Simon Despres",41950
"Matt Lashoff",13845
"Liam O'Brien",6988
"Kevin Hayes",44053
"Darren Archibald",5928
"Justin Schultz",67526
"Matt Carle",56753
"Michael Latta",31430
"Jake Gardiner",133387
"Steven Kampfer",20056
"RJ Umberger",39938
"Derek Dorsett",32519
"Tom Sestito",40084
"Oliver Ekman-Larsson",23562
"Jimmy Hayes",44563
"Mattias Ritola",6557
"Logan Shaw",3339
"Matt Duchene",320553
"Mike Condon",18358
"Anthony Stewart",23763
"Jon Marchessault",3987
"Michael Del Zotto",110907
"Alexander Steen",115282
"Darryl Boyce",17780
"Michael Richards",167046
"Andy Miele",7998
"Barclay Goodrow",7871
"Michal Neuvirth",23605
"john erskine",40618
"Matt Beleskey",36087
"Andrew Gordon",14278
"John Carlson",92822
"Frazer Mclaren",36056
"Logan Couture",333899
"Michael Grabner",112594
"Jim Vandermeer",17030
"Matt Moulson",75519
"Curtis McKenzie",6121
"Patrick Cannone",2115
"Cam Atkinson",32812
"Kyle Turris",79999
"Vinny Lecavalier Fdn",4614
"Carlo Colaiacovo",8465
"Ben Bishop",59142
"Connor Brown",16860
"Morgan Ellis",13089
"Rob Schremp",19606
"Evander Kane",197095
"Mikkel boedker",12779
"Ian Cole",45017
"Ryan Kesler",318199
"Mark Arcobello",13795
"Tyler Bozak",204761
"Chris Kreider",86217
"Riley Sheahan",7496
"Jeff Petry",42616
"Emerson Etem",22375
"Zemgus Girgensons",72496
"Jordin Tootoo",183623
"Cam Janssen",24398
"Marian Gaborik",214058
"Steve Sullivan",43239
"Zach Boychuk",549481
"Max Talbot",209053
"Scottie Upshall",68726
"David Perron",126489
"Jordan Caron",16716
"Mike Knuble",21390
"Frank Vatrano",8250
"Anze Kopitar",193683
"Blake Geoffrion",36126
"Mike Green",102194
"Joffrey Lupul",306905
"Troy Grosenick",3594
"James van Riemsdyk",254578
"ben lovejoy",39267
"Eric Fehr",88783
"Matt Kassian",30773
"Tyler Johnson",35267
"Frederik Andersen",23815
"Brad Winchester",9354
"Keith Kinkaid",8524
"Brendan Smith",48293
"Jaycob Megna",1153
"Mike Komisarek",46530
"Sami Lepistö",49956
"Martin Havlat",35816
"Dalton Prout",6988
"Tanner Pearson",23770
"Bryce Salvador",6406
"Carter Hutton",18500
"Roman Josi",26760
"dustin brown",204469
"Alex Ovechkin",2443051
"Patrik Elias",26919
"Brendan Witt",3320
