"Player","Tm","Salary","Cap.Hit"
"Anze Kopitar","LAK","14,000,000","10,000,000"
"Jonathan Toews","CHI","13,800,000","10,500,000"
"Patrick Kane","CHI","13,800,000","10,500,000"
"Shea Weber","MTL","12,000,000","7,857,142"
"P.K. Subban","NSH","11,000,000","9,000,000"
"Ryan O'Reilly","BUF","11,000,000","7,500,000"
"Sidney Crosby","PIT","10,900,000","8,700,000"
"Corey Perry","ANA","10,000,000","8,625,000"
"Alex Ovechkin","WSH","10,000,000","9,538,461"
"Jakub Voracek","PHI","10,000,000","8,250,000"
"Evgeni Malkin","PIT","9,500,000","9,500,000"
"Henrik Lundqvist","NYR","9,500,000","8,500,000"
"Ryan Getzlaf","ANA","9,250,000","8,250,000"
"Zach Parise","MIN","9,000,000","7,538,461"
"Ryan Suter","MIN","9,000,000","7,538,461"
"Brent Seabrook","CHI","9,000,000","6,875,000"
"Claude Giroux","PHI","9,000,000","8,275,000"
"Sergei Bobrovsky","CBJ","8,500,000","7,425,000"
"Patrice Bergeron","BOS","8,250,000","6,875,000"
"Andrew Ladd","NYI","8,000,000","5,500,000"
"Vladimir Tarasenko","STL","8,000,000","7,500,000"
"Kyle Okposo","BUF","8,000,000","6,000,000"
"David Backes","BOS","8,000,000","6,000,000"
"Derek Stepan","NYR","8,000,000","6,500,000"
"Loui Eriksson","VAN","8,000,000","6,000,000"
"Milan Lucic","EDM","8,000,000","6,000,000"
"Dustin Byfuglien","WPG","8,000,000","7,600,000"
"Rick Nash","NYR","8,000,000","7,800,000"
"Ryan Kesler","ANA","7,875,000","6,875,000"
"Phil Kessel","PIT","7,800,000","6,800,000"
"Dion Phaneuf","OTT","7,500,000","7,000,000"
"Tuukka Rask","BOS","7,500,000","7,000,000"
"Keith Yandle","FLA","7,500,000","6,350,000"
"Jason Spezza","DAL","7,500,000","7,500,000"
"Henrik Zetterberg","DET","7,500,000","6,083,333"
"Drew Doughty","LAK","7,450,000","7,000,000"
"Kris Letang","PIT","7,250,000","7,250,000"
"David Krejci","BOS","7,250,000","7,250,000"
"Bobby Ryan","OTT","7,250,000","7,250,000"
"Carey Price","MTL","7,000,000","6,500,000"
"Johnny Boychuk","NYI","7,000,000","6,000,000"
"Alex Pietrangelo","STL","7,000,000","6,500,000"
"Braden Holtby","WSH","7,000,000","6,100,000"
"Jeff Petry","MTL","7,000,000","5,500,000"
"Erik Karlsson","OTT","7,000,000","6,500,000"
"Dustin Brown","LAK","7,000,000","5,875,000"
"Daniel Sedin","VAN","7,000,000","7,000,000"
"Tomas Plekanec","MTL","7,000,000","6,000,000"
"Nicklas Backstrom","WSH","7,000,000","6,700,000"
"Paul Stastny","STL","7,000,000","7,000,000"
"Pekka Rinne","NSH","7,000,000","7,000,000"
"Jonathan Quick","LAK","7,000,000","5,800,000"
"Jeff Carter","LAK","7,000,000","5,272,727"
"Henrik Sedin","VAN","7,000,000","7,000,000"
"Joe Thornton","SJS","6,750,000","6,750,000"
"Mark Giordano","CGY","6,750,000","6,750,000"
"Anders Steen","STL","6,500,000","5,800,000"
"Travis Zajac","NJD","6,500,000","5,750,000"
"Patrick Marleau","SJS","6,500,000","6,666,666"
"Andrej Sekera","EDM","6,500,000","5,500,000"
"Ryan Callahan","TBL","6,500,000","5,800,000"
"Sean Monahan","CGY","6,500,000","6,375,000"
"Mike Smith","ARI","6,500,000","5,666,666"
"Jason Pominville","MIN","6,250,000","5,600,000"
"Marian Gaborik","LAK","6,075,000","4,875,000"
"Ryan Miller","VAN","6,000,000","6,000,000"
"Alexander Edler","VAN","6,000,000","5,000,000"
"Filip Forsberg","NSH","6,000,000","6,000,000"
"Matt Duchene","COL","6,000,000","6,000,000"
"Duncan Keith","CHI","6,000,000","5,538,461"
"Jordan Staal","CAR","6,000,000","6,000,000"
"Frans Nielsen","DET","6,000,000","5,250,000"
"Oliver Ekman-Larsson","ARI","6,000,000","5,500,000"
"Joe Pavelski","SJS","6,000,000","6,000,000"
"Semyon Varlamov","COL","6,000,000","5,900,000"
"Erik Johnson","COL","6,000,000","6,000,000"
"Kari Lehtonen","DAL","6,000,000","5,900,000"
"Dan Girardi","NYR","6,000,000","5,500,000"
"Jordan Eberle","EDM","6,000,000","6,000,000"
"John Tavares","NYI","6,000,000","5,500,000"
"Evander Kane","BUF","6,000,000","5,250,000"
"Jeff Skinner","CAR","6,000,000","5,725,000"
"Mike Green","DET","6,000,000","6,000,000"
"Tyler Seguin","DAL","6,000,000","5,750,000"
"Corey Crawford","CHI","6,000,000","6,000,000"
"Brayden Schenn","PHI","6,000,000","5,125,000"
"Taylor Hall","NJD","6,000,000","6,000,000"
"Ryan Johansen","NSH","6,000,000","4,000,000"
"Logan Couture","SJS","6,000,000","6,000,000"
"Cory Schneider","NJD","6,000,000","6,000,000"
"Dennis Wideman","CGY","6,000,000","5,250,000"
"Ryan Nugent-Hopkins","EDM","6,000,000","6,000,000"
"Roberto Luongo","FLA","5,914,000","4,533,333"
"Brandon Dubinsky","CBJ","5,850,000","5,850,000"
"Blake Wheeler","WPG","5,800,000","5,600,000"
"Brent Burns","SJS","5,760,000","5,760,000"
"Jamie Benn","DAL","5,750,000","5,250,000"
"Brandon Saad","CBJ","5,750,000","6,000,000"
"Marc-Andre Fleury","PIT","5,750,000","5,750,000"
"Matt Niskanen","WSH","5,750,000","5,750,000"
"Artem Anisimov","CHI","5,750,000","4,550,000"
"Toby Enstrom","WPG","5,750,000","5,750,000"
"Alexander Radulov","MTL","5,750,000","5,750,000"
"Marc Staal","NYR","5,700,000","5,700,000"
"Jay Bouwmeester","STL","5,600,000","5,400,000"
"Nick Foligno","CBJ","5,500,000","5,500,000"
"Justin Abdelkader","DET","5,500,000","4,250,000"
"Jason Demers","FLA","5,500,000","4,500,000"
"Dougie Hamilton","CGY","5,500,000","5,750,000"
"Niklas Kronwall","DET","5,500,000","4,750,000"
"Gabriel Landeskog","COL","5,500,000","5,571,428"
"Brooks Orpik","WSH","5,500,000","5,500,000"
"Andrew Shaw","MTL","5,500,000","3,900,000"
"Justin Faulk","CAR","5,500,000","4,833,333"
"Rasmus Ristolainen","BUF","5,400,000","5,400,000"
"Mikko Koivu","MIN","5,400,000","6,750,000"
"Seth Jones","CBJ","5,400,000","5,400,000"
"Alex Goligoski","ARI","5,375,000","5,475,000"
"Jaden Schwartz","STL","5,250,000","5,350,000"
"Zach Bogosian","BUF","5,250,000","5,142,857"
"Paul Martin","SJS","5,000,000","4,850,000"
"Matt Moulson","BUF","5,000,000","5,000,000"
"James van Riemsdyk","TOR","5,000,000","4,250,000"
"Morgan Rielly","TOR","5,000,000","5,000,000"
"Valtteri Filppula","PHI","5,000,000","5,000,000"
"Sami Vatanen","ANA","5,000,000","4,875,000"
"Patrick Sharp","DAL","5,000,000","5,900,000"
"Bryan Little","WPG","5,000,000","4,700,000"
"Derick Brassard","OTT","5,000,000","5,000,000"
"Jack Johnson","CBJ","5,000,000","4,357,142"
"Torey Krug","BOS","5,000,000","5,250,000"
"Andy Greene","NJD","5,000,000","5,000,000"
"Devan Dubnyk","MIN","5,000,000","4,333,333"
"Max Pacioretty","MTL","5,000,000","4,500,000"
"Mark Scheifele","WPG","5,000,000","6,125,000"
"Mikhail Grabovski","NYI","5,000,000","5,000,000"
"James Neal","NSH","5,000,000","5,000,000"
"Scott Hartnell","CBJ","5,000,000","4,750,000"
"Darren Helm","DET","5,000,000","3,850,000"
"Nazem Kadri","TOR","5,000,000","4,500,000"
"Mike Cammalleri","NJD","5,000,000","5,000,000"
"Frederik Andersen","TOR","5,000,000","5,000,000"
"Brad Marchand","BOS","5,000,000","4,500,000"
"Nathan MacKinnon","COL","5,000,000","6,300,000"
"Mikkel Boedker","SJS","5,000,000","4,000,000"
"Michael Frolik","CGY","5,000,000","4,300,000"
"Chris Kreider","NYR","5,000,000","4,625,000"
"Tyson Barrie","COL","5,000,000","5,500,000"
"Ryan McDonagh","NYR","5,000,000","4,700,000"
"Zdeno Chara","BOS","5,000,000","6,916,667"
"Marc Methot","OTT","4,900,000","4,900,000"
"Travis Hamonic","NYI","4,875,000","3,857,142"
"Ryane Clowe","NJD","4,850,000","4,850,000"
"T.J. Brodie","CGY","4,838,000","4,650,400"
"Ben Bishop","LAK","4,760,000","4,760,000"
"Carl Soderberg","COL","4,750,000","4,750,000"
"Ondrej Pavelec","WPG","4,750,000","3,900,000"
"Patric Hornqvist","PIT","4,750,000","4,250,000"
"Craig Anderson","OTT","4,750,000","4,200,000"
"Andrew MacDonald","PHI","4,750,000","5,000,000"
"Bryan Bickell","CAR","4,500,000","4,000,000"
"Dmitry Kulikov","BUF","4,500,000","4,333,333"
"Mats Zuccarello","NYR","4,500,000","4,500,000"
"Brendan Gallagher","MTL","4,500,000","3,750,000"
"Francois Beauchemin","COL","4,500,000","4,500,000"
"Troy Brouwer","CGY","4,500,000","4,500,000"
"Dan Hamhuis","DAL","4,500,000","3,750,000"
"T.J. Oshie","WSH","4,500,000","4,175,000"
"Adam Henrique","NJD","4,500,000","4,000,000"
"Tyler Bozak","TOR","4,500,000","4,200,000"
"Kyle Palmieri","NJD","4,500,000","4,650,000"
"Nick Leddy","NYI","4,500,000","5,500,000"
"Aleksander Barkov","FLA","4,500,000","5,900,000"
"Clarke MacArthur","OTT","4,500,000","4,650,000"
"James Reimer","FLA","4,500,000","3,400,000"
"Anton Stralman","TBL","4,500,000","4,500,000"
"Antti Niemi","DAL","4,500,000","4,500,000"
"Alex Killorn","TBL","4,450,000","4,450,000"
"Jori Lehtera","STL","4,400,000","4,700,000"
"Drew Stafford","BOS","4,350,000","4,350,000"
"Wayne Simmonds","PHI","4,300,000","3,975,000"
"Marcus Johansson","WSH","4,250,000","4,583,333"
"Roman Josi","NSH","4,250,000","4,000,000"
"Nikita Kucherov","TBL","4,250,000","4,766,666"
"Victor Hedman","TBL","4,250,000","4,000,000"
"Marc-Edouard Vlasic","SJS","4,250,000","4,250,000"
"Gustav Nyquist","DET","4,250,000","4,750,000"
"Jared Spurgeon","MIN","4,250,000","5,187,500"
"Brandon Sutter","VAN","4,250,000","4,375,000"
"Lars Eller","WSH","4,250,000","3,500,000"
"Nikolai Kulemin","NYI","4,250,000","4,187,500"
"Jonathan Ericsson","DET","4,250,000","4,250,000"
"Andrei Markov","MTL","4,250,000","5,750,000"
"Alexei Emelin","MTL","4,200,000","4,100,000"
"Cam Talbot","EDM","4,150,000","4,166,666"
"Jonathan Bernier","ANA","4,150,000","4,150,000"
"Nick Bjugstad","FLA","4,100,000","4,100,000"
"Niklas Hjalmarsson","CHI","4,100,000","4,100,000"
"Steve Mason","PHI","4,100,000","4,100,000"
"Olli Maatta","PIT","4,083,000","4,083,333"
"Jake Gardiner","TOR","4,050,000","4,050,000"
"Jaromir Jagr","FLA","4,000,000","4,000,000"
"Michael Del Zotto","PHI","4,000,000","3,875,000"
"Tyler Johnson","TBL","4,000,000","3,333,333"
"Marian Hossa","CHI","4,000,000","5,275,000"
"Danny DeKeyser","DET","4,000,000","5,000,000"
"Kevin Bieksa","ANA","4,000,000","4,000,000"
"Jonas Brodin","MIN","4,000,000","4,166,666"
"John Carlson","WSH","4,000,000","3,966,666"
"Colin Wilson","NSH","4,000,000","3,937,500"
"Jonathan Huberdeau","FLA","4,000,000","3,250,000"
"Tyler Myers","WPG","4,000,000","5,500,000"
"Ladislav Smid","CGY","4,000,000","3,500,000"
"Craig Smith","NSH","4,000,000","4,250,000"
"Jussi Jokinen","FLA","4,000,000","4,000,000"
"Radko Gudas","PHI","4,000,000","3,350,000"
"Ondrej Palat","TBL","4,000,000","3,333,333"
"Victor Rask","CAR","4,000,000","4,000,000"
"Matt Read","PHI","4,000,000","3,625,000"
"Ales Hemsky","DAL","4,000,000","4,000,000"
"Jake Muzzin","LAK","4,000,000","4,000,000"
"Matt Beleskey","BOS","4,000,000","3,800,000"
"Kyle Turris","OTT","4,000,000","3,500,000"
"Cam Fowler","ANA","4,000,000","4,000,000"
"Benoit Pouliot","EDM","4,000,000","4,000,000"
"Mike Fisher","NSH","4,000,000","4,400,000"
"Alec Martinez","LAK","3,900,000","4,000,000"
"Josh Gorges","BUF","3,900,000","3,900,000"
"Tyler Toffoli","LAK","3,900,000","3,250,000"
"Shane Doan","ARI","3,876,134","3,876,134"
"Cody Eakin","DAL","3,850,000","3,850,000"
"Petr Mrazek","DET","3,850,000","4,000,000"
"Rickard Rakell","ANA","3,800,000","3,800,000"
"Justin Braun","SJS","3,800,000","3,800,000"
"Mike Hoffman","OTT","3,800,000","5,187,500"
"Mark Stone","OTT","3,750,000","3,500,000"
"Vincent Trocheck","FLA","3,750,000","4,750,000"
"David Perron","STL","3,750,000","3,750,000"
"Johnny Gaudreau","CGY","3,750,000","6,750,000"
"Marco Scandella","MIN","3,750,000","4,000,000"
"Sean Couturier","PHI","3,750,000","4,333,333"
"Josh Bailey","NYI","3,700,000","3,300,000"
"Braydon Coburn","TBL","3,700,000","3,700,000"
"Patrik Berglund","STL","3,700,000","3,700,000"
"Carl Hagelin","PIT","3,667,000","4,000,000"
"Tyler Ennis","BUF","3,650,000","4,600,000"
"Jason Garrison","TBL","3,600,000","4,600,000"
"Brad Stuart","COL","3,600,000","3,600,000"
"Luca Sbisa","VAN","3,600,000","3,600,000"
"Mikael Backlund","CGY","3,575,000","3,575,000"
"Chris Kunitz","PIT","3,550,000","3,850,000"
"Kevin Shattenkirk","WSH","3,542,500","2,592,500"
"Anders Lee","NYI","3,500,000","3,750,000"
"Erik Gudbranson","VAN","3,500,000","3,500,000"
"Matt Martin","TOR","3,500,000","2,500,000"
"Chris Tanev","VAN","3,500,000","4,450,000"
"Eric Staal","MIN","3,500,000","3,500,000"
"Cal Clutterbuck","NYI","3,500,000","2,750,000"
"David Savard","CBJ","3,500,000","4,250,000"
"James Wisniewski","CAR","3,500,000","3,500,000"
"Reilly Smith","FLA","3,500,000","3,425,000"
"Cam Ward","CAR","3,500,000","3,300,000"
